epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3179.81,0.52214,0.38882,0.9698,0.96093,0.96086,0.97448,0.87355,0.52648,0.38779,0.93408,0.000236714,0.000236714,0.000236714
80,3220.81,0.52506,0.3839,0.95665,0.97568,0.95221,0.9698,0.877,0.52446,0.37427,0.92997,0.000218377,0.000218377,0.000218377
81,3263.19,0.43201,0.30221,0.89934,0.96783,0.94994,0.97021,0.87387,0.52668,0.38249,0.92599,0.00020004,0.00020004,0.00020004
82,3302.23,0.41884,0.28717,0.89563,0.96927,0.96145,0.97059,0.87903,0.49579,0.38156,0.90668,0.000181703,0.000181703,0.000181703
83,3340.77,0.4016,0.27512,0.88566,0.98431,0.94586,0.97076,0.88618,0.50306,0.36417,0.91626,0.000163366,0.000163366,0.000163366
84,3378.98,0.38988,0.26135,0.8738,0.98117,0.94942,0.97287,0.88606,0.49191,0.35504,0.91048,0.000145029,0.000145029,0.000145029
85,3417.29,0.38484,0.26074,0.87517,0.98616,0.94533,0.97219,0.88704,0.48277,0.35131,0.90656,0.000126692,0.000126692,0.000126692
86,3456.97,0.37792,0.25774,0.86878,0.98536,0.94431,0.97278,0.8908,0.47709,0.34504,0.9075,0.000108355,0.000108355,0.000108355
87,3496.73,0.37577,0.25486,0.87223,0.97681,0.95343,0.97311,0.89454,0.47242,0.34121,0.90661,9.0018e-05,9.0018e-05,9.0018e-05
88,3536.21,0.36604,0.24635,0.86628,0.98049,0.9503,0.97379,0.89105,0.47137,0.3441,0.90259,7.1681e-05,7.1681e-05,7.1681e-05
89,3574.5,0.35928,0.24005,0.86283,0.98254,0.94672,0.9735,0.89486,0.46393,0.34118,0.90112,5.3344e-05,5.3344e-05,5.3344e-05
90,3602.79,0.35897,0.2462,0.86589,0.98952,0.94381,0.97297,0.89387,0.45925,0.34005,0.89496,3.5007e-05,3.5007e-05,3.5007e-05
